2026-07-15 17:04:25,085 | INFO | Train-test split completed successfully.
2026-07-15 17:04:25,090 | INFO | Linear Regression model trained successfully.
2026-07-15 17:04:25,099 | INFO | Linear Regression evaluated successfully.
2026-07-15 17:04:25,103 | INFO | Decision tree regression model trained successfully.
2026-07-15 17:04:25,110 | INFO | Decision Tree evaluated successfully.
2026-07-15 17:04:25,310 | INFO | Random Forest regression model trained successfully.
2026-07-15 17:04:25,334 | INFO | Random Forest Regressor evaluated successfully.
2026-07-15 17:04:25,337 | INFO | KNN model trained successfully.
2026-07-15 17:04:25,345 | INFO | KNN Regression evaluated successfully.
2026-07-15 17:04:25,346 | INFO | Best model selected: Linear Regression
2026-07-15 17:04:25,359 | INFO | Best model saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-15 17:04:25,365 | INFO | Best model loaded successfully.
2026-07-15 17:04:25,366 | INFO | Input dataframe created successfully.
2026-07-15 17:04:25,367 | INFO | SqFtPerBedroom feature created successfully.
2026-07-15 17:04:25,371 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-15 17:04:25,372 | INFO | TotalRooms feature created successfully.
2026-07-15 17:04:25,373 | INFO | Feature Engineering applied successfully.
2026-07-15 17:04:25,374 | INFO | House price predicted successfully.
2026-07-15 17:04:25,374 | INFO | Prediction is done successfully. 
2026-07-15 17:04:25,381 | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
2026-07-15 17:46:15,973 | HousePricePrediction | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-15 17:46:15,985 | HousePricePrediction | INFO | Dataset information displayed successfully.
2026-07-15 17:46:15,988 | HousePricePrediction | INFO | Missing values checked successfully
2026-07-15 17:46:15,996 | HousePricePrediction | INFO | Missing values handled successfully.
2026-07-15 17:46:15,999 | HousePricePrediction | INFO | Duplicate rows checked successfully
2026-07-15 17:46:16,000 | HousePricePrediction | INFO | Duplicate rows removed successfully
2026-07-15 17:46:16,052 | HousePricePrediction | INFO | Categorical columns encoded successfully.
2026-07-15 17:46:16,059 | HousePricePrediction | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 17:46:16,059 | HousePricePrediction | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 17:46:16,061 | HousePricePrediction | INFO | SqFtPerBedroom feature created successfully.
2026-07-15 17:46:16,061 | HousePricePrediction | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-15 17:46:16,063 | HousePricePrediction | INFO | TotalRooms feature created successfully.
2026-07-15 17:46:16,075 | HousePricePrediction | INFO | Features and target created successfully.
2026-07-15 17:46:16,080 | HousePricePrediction | INFO | Train-test split completed successfully.
2026-07-15 17:46:16,087 | HousePricePrediction | INFO | Linear Regression model trained successfully.
2026-07-15 17:46:16,096 | HousePricePrediction | INFO | Linear Regression evaluated successfully.
2026-07-15 17:46:16,101 | HousePricePrediction | INFO | Decision tree regression model trained successfully.
2026-07-15 17:46:16,110 | HousePricePrediction | INFO | Decision Tree evaluated successfully.
2026-07-15 17:46:16,309 | HousePricePrediction | INFO | Random Forest regression model trained successfully.
2026-07-15 17:46:16,337 | HousePricePrediction | INFO | Random Forest Regressor evaluated successfully.
2026-07-15 17:46:16,340 | HousePricePrediction | INFO | KNN model trained successfully.
2026-07-15 17:46:16,349 | HousePricePrediction | INFO | KNN Regression evaluated successfully.
2026-07-15 17:46:16,351 | HousePricePrediction | INFO | Best model selected: Linear Regression
2026-07-15 17:46:16,363 | HousePricePrediction | INFO | Best model saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-15 17:46:16,364 | HousePricePrediction | INFO | Best model loaded successfully.
2026-07-15 17:46:16,367 | HousePricePrediction | INFO | Input dataframe created successfully.
2026-07-15 17:46:16,369 | HousePricePrediction | INFO | SqFtPerBedroom feature created successfully.
2026-07-15 17:46:16,370 | HousePricePrediction | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-15 17:46:16,372 | HousePricePrediction | INFO | TotalRooms feature created successfully.
2026-07-15 17:46:16,373 | HousePricePrediction | INFO | Feature Engineering applied successfully.
2026-07-15 17:46:16,378 | HousePricePrediction | INFO | House price predicted successfully.
2026-07-15 17:46:16,378 | HousePricePrediction | INFO | Prediction is done successfully. 
2026-07-15 17:46:16,384 | HousePricePrediction | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
